Utility,Type,Year,Month,MonthNum,Gallons,Source,Note
Loudoun Water,Potable,2022,September,9,90574616,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2022,October,10,68226695,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2022,November,11,47096078,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2022,December,12,15687166,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,January,1,39933409,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,February,2,61740263,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,March,3,42030985,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,April,4,49354305,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,May,5,72312425,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,June,6,63927216,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,July,7,98047745,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,August,8,134493991,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,September,9,105218640,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,October,10,67289157,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,November,11,49386249,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2023,December,12,26305232,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,January,1,49712081,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,February,2,47354027,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,March,3,55462999,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,April,4,56846705,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,May,5,63105077,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,June,6,76493359,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,July,7,119468021,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,August,8,141096913,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,September,9,97047384,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,October,10,72879842,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,November,11,60521528,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2024,December,12,58487325,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,January,1,55027868,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,February,2,52773131,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,March,3,63997873,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,April,4,70211808,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,May,5,71191127,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,June,6,77152070,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,July,7,105680710,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,August,8,119875326,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,September,9,96555993,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,October,10,78986743,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,November,11,64537011,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
Loudoun Water,Potable,2025,December,12,50169541,Loudoun Water billing data (utility-reported aggregate),All data center customers — not site-specific
